Unnamed: 0,Buy
17685,1
17686,0
17687,1
17688,0
17689,1
17690,1
17691,1
17692,1
17693,0
17694,1
17695,0
17696,0
17697,1
17698,1
17699,0
17700,1
17701,1
17702,1
17703,1
17704,1
17705,1
17706,1
17707,1
17708,1
17709,1
17710,1
17711,1
17712,1
17713,1
17714,1
17715,1
17716,1
17717,0
17718,0
17719,1
17720,0
17721,0
17722,1
17723,1
17724,1
17725,1
17726,1
17727,1
17728,0
17729,1
17730,1
17731,1
17732,1
17733,1
17734,0
17735,1
17736,1
17737,0
17738,1
17739,0
17740,0
17741,1
17742,1
17743,1
17744,1
17745,1
17746,1
17747,1
17748,1
17749,1
17750,1
17751,1
17752,1
17753,1
17754,1
17755,1
17756,1
17757,0
17758,1
17759,1
17760,1
17761,1
17762,1
17763,1
17764,1
17765,1
17766,1
17767,1
17768,1
17769,1
17770,1
17771,1
17772,1
17773,1
17774,0
17775,1
17776,1
17777,1
17778,1
17779,1
17780,0
17781,0
17782,1
17783,0
17784,0
17785,0
17786,1
17787,1
17788,1
17789,1
17790,1
17791,1
17792,1
17793,1
17794,1
17795,1
17796,1
17797,0
17798,1
17799,1
17800,1
17801,0
17802,0
17803,0
17804,1
17805,1
17806,1
17807,1
17808,1
17809,1
17810,1
17811,0
17812,1
17813,0
17814,1
17815,1
17816,0
17817,1
17818,1
17819,1
17820,0
17821,1
17822,1
17823,0
17824,1
17825,1
17826,0
17827,0
17828,0
17829,0
17830,1
17831,0
17832,1
17833,1
17834,1
17835,1
17836,1
17837,1
17838,1
17839,1
17840,1
17841,1
17842,1
17843,0
17844,1
17845,1
17846,1
17847,1
17848,1
17849,0
17850,1
17851,1
17852,1
17853,1
17854,1
17855,1
17856,0
17857,1
17858,0
17859,0
17860,1
17861,1
17862,0
17863,1
17864,1
17865,1
17866,1
17867,1
17868,0
17869,0
17870,1
17871,1
17872,0
17873,1
17874,1
17875,1
17876,1
17877,1
17878,1
17879,1
17880,1
17881,1
17882,0
17883,0
17884,0
17885,0
17886,1
17887,1
17888,1
17889,1
17890,1
17891,1
17892,0
17893,1
17894,1
17895,1
17896,0
17897,1
17898,1
17899,0
17900,0
17901,1
17902,0
17903,1
17904,1
17905,1
17906,1
17907,1
17908,0
17909,1
17910,0
17911,1
17912,0
17913,1
17914,1
17915,1
17916,1
17917,1
17918,1
17919,0
17920,1
17921,1
17922,1
